Variable,Posición,Etiqueta
a0906,333,"En los últimos 10 años, ¿le han aplicado la vacuna contra el Tétanos?"
a0907,334,¿Cuántas veces se la han aplicado?
a0908,335,"A partir de septiembre del año pasado y hasta el día de hoy, ¿le han aplicado la vacuna contra la Influenza"
not0033,336,NOTA033
a09091a,337,Sarampión y Rubéola (SR) Primera dosis dosis administrada.
a09091bd,338,Sarampión y Rubéola (SR) Primera dosis dosis Fecha aplicación (ddmmaaaa).
a09091c,339,Sarampión y Rubéola (SR) Primera dosis dosis institución de aplicación.
a09091cesp,340,Sarampión y Rubéola (SR) Primera dosis dosis institución de aplicación ESPECIFIQUE.
a09092a,341,Sarampión y Rubéola (SR) Segunda dosis dosis administrada.
a09092bd,342,Sarampión y Rubéola (SR) Segunda dosis dosis Fecha aplicación (ddmmaaaa).
a09092c,343,Sarampión y Rubéola (SR) Segunda dosis dosis institución de aplicación.
a09092cesp,344,Sarampión y Rubéola (SR) Segunda dosis dosis institución de aplicación ESPECIFIQUE.
a09093a,345,Sarampión y Rubéola (SR) Tercera dosis dosis administrada.
a09093bd,346,Sarampión y Rubéola (SR) Tercera dosis dosis Fecha aplicación (ddmmaaaa).
a09093c,347,Sarampión y Rubéola (SR) Tercera dosis dosis institución de aplicación.
a09093cesp,348,Sarampión y Rubéola (SR) Tercera dosis dosis institución de aplicación ESPECIFIQUE.
a09101a,349,Td (tétanos y difteria) Refuerzo administrada.
a09101bd,350,Td (tétanos y difteria) Refuerzo Fecha aplicación (ddmmaaaa).
a09101c,351,Td (tétanos y difteria) Refuerzo institución de aplicación.
a09101cesp,352,Td (tétanos y difteria) Refuerzo institución de aplicación ESPECIFIQUE.
a09102a,353,Td (tétanos y difteria) Primera dosis dosis administrada.
a09102bd,354,Td (tétanos y difteria) Primera dosis dosis Fecha aplicación (ddmmaaaa).
a09102c,355,Td (tétanos y difteria) Primera dosis dosis institución de aplicación.
a09102cesp,356,Td (tétanos y difteria) Primera dosis institución de aplicación. ESPECIFIQUE.
a09103a,357,Td (tétanos y difteria) Segunda dosis dosis administrada.
a09103bd,358,Td (tétanos y difteria) Segunda dosis dosis Fecha aplicación (ddmmaaaa).
a09103c,359,Td (tétanos y difteria) Segunda dosis dosis institución de aplicación.
a0910cesp,360,Td (tétanos y difteria) Segunda dosis institución de aplicación. ESPECIFIQUE.
a09104a,361,Td (tétanos y difteria) Tercera dosis dosis administrada.
a09104bd,362,Td (tétanos y difteria) Tercera dosis dosis Fecha aplicación (ddmmaaaa).
a09104c,363,Td (tétanos y difteria) Tercera dosis dosis institución de aplicación.
a09104cesp,364,Td (tétanos y difteria) Tercera dosis institución de aplicación ESPECIFIQUE.
a09111a,365,Tdpa Única dosis administrada.
a09111bd,366,Tdpa Única dosis Fecha aplicación (ddmmaaaa).
a09111c,367,Tdpa Única dosis institución de aplicación.
a09111cesp,368,Tdpa Única dosis institución de aplicación ESPECIFIQUE
a09121a,369,Influenza estacional Factores de Riesgo dosis administrada.
a09121bd,370,Influenza estacional Factores de Riesgo dosis Fecha aplicación (ddmmaaaa).
a09121c,371,Influenza estacional Factores de Riesgo dosis institución de aplicación.
a09121cesp,372,Influenza estacional Factores de Riesgo dosis institución de aplicación ESPECIFIQUE
a09122a,373,Influenza estacional Embarazadas Única dosis administrada.
a09122bd,374,Influenza estacional Embarazadas Única dosis Fecha aplicación (ddmmaaaa).
a09122c,375,Influenza estacional Embarazadas Única dosis institución de aplicación.
a09122cesp,376,Influenza estacional Embarazadas Única dosis institución de aplicación ESPECIFIQUE
o_vac1,377,¿Existen Otras Vacunas?
a09131nom,378,Otras Vacunas 1 Dosis
a09131ed,379,Otras Vacunas 1 Edad
a09131a,380,Otras Vacunas 1 administrada.
a09131bd,381,Otras Vacunas 1 Fecha aplicación (ddmmaaaa).
a09131c,382,Otras Vacunas 1 institución de aplicación.
a09131cesp,383,Otras Vacunas 1 institución de aplicación. ESPECIFIQUE.
o_vac2,384,¿Existen Otras Vacunas?
a09132nom,385,Otras Vacunas 2 Dosis
a09132edad,386,Otras Vacunas 2 Edad
a09132a,387,Otras Vacunas 2 administrada.
a09132bd,388,Otras Vacunas 2 Fecha aplicación (ddmmaaaa).
a09132c,389,Otras Vacunas 2 institución de aplicación.
a09132cesp,390,Otras Vacunas 2 institución de aplicación. ESPECIFIQUE.
o_vac3,391,¿Existen Otras Vacunas?
a09133nom,392,Otras Vacunas 3 Dosis
a09133ed,393,Otras Vacunas 3 Edad
a09133a,394,Otras Vacunas 3 Única dosis administrada.
a09133bd,395,Otras Vacunas 3 Única dosis Fecha aplicación (ddmmaaaa).
a09133c,396,Otras Vacunas 3 Única dosis institución de aplicación.
a09133cesp,397,Otras Vacunas 3 Única dosis institución de aplicación. ESPECIFIQUE.
not034,398,NOTA034
a0914,399,"¿Me puede mostrar su Cartilla Nacional de Salud del Adulto Mayor, el documento probatorio o comprobante en el que le registran las vacunas que le han aplicado?"
a0915,400,¿Por qué no tiene la cartilla?
a0916,401,¿Por qué no tiene información registrada en su cartilla?
not035,402,NOTA035
a0917,403,¿Le han aplicado la vacuna contra el Neumococo?
a0918,404,¿Cuántas veces le han aplicado la vacuna contra el Neumococo?
a0919,405,¿Le han aplicado la vacuna contra el Tétanos?
a0920,406,¿Cuántas veces se le han aplicado la vacuna contra el Tétanos?
a0921,407,"A partir de septiembre del año pasado y hasta el día de hoy, ¿le han aplicado la vacuna contra la Influenza?"
not036,408,NOTA036
a09221a,409,Neumocócica Polisacárida Dosis Unica (Neumonía por neumococo) administrada.
a09221bd,410,Neumocócica Polisacárida Dosis Unica (Neumonía por neumococo) Fecha aplicación (ddmmaaaa).
a09221c,411,Neumocócica Polisacárida Dosis Unica (Neumonía por neumococo) institución de aplicación.
a09221cesp,412,Neumocócica Polisacárida Dosis Unica (Neumonía por neumococo) institución de aplicación. ESPECIFIQUE.
a09222a,413,Neumocócica Polisacárida dosis Inicial (Neumonía por neumococo) administrada.
a09222bd,414,Neumocócica Polisacárida dosis Inicial (Neumonía por neumococo) Fecha aplicación (ddmmaaaa).
a09222c,415,Neumocócica Polisacárida dosis Inicial (Neumonía por neumococo) institución de aplicación.
a09222cesp,416,Neumocócica Polisacárida dosis Inicial (Neumonía por neumococo) institución de aplicación. ESPECIFIQUE.
a09223a,417,Neumocócica Polisacárida Revacunación única (Neumonía por neumococo) administrada.
a09223bd,418,Neumocócica Polisacárida Revacunación única (Neumonía por neumococo) Fecha aplicación (ddmmaaaa).
a09223c,419,Neumocócica Polisacárida Revacunación única (Neumonía por neumococo) institución de aplicación.
a09223cesp,420,Neumocócica Polisacárida Revacunación única (Neumonía por neumococo) institución de aplicación. ESPECIFIQUE.
a09231a,421,Td (tétanos y difteria) Refuerzo administrada.
a09231bd,422,Td (tétanos y difteria) Refuerzo Fecha aplicación (ddmmaaaa).
a09231c,423,Td (tétanos y difteria) Refuerzo institución de aplicación.
a09231cesp,424,Td (tétanos y difteria) Refuerzo institución de aplicación. ESPECIFIQUE.
a09232a,425,Td (tétanos y difteria) Primera dosis dosis administrada.
a09232bd,426,Td (tétanos y difteria) Primera dosis dosis Fecha aplicación (ddmmaaaa).
a09232c,427,Td (tétanos y difteria) Primera dosis dosis institución de aplicación.
a09232cesp,428,Td (tétanos y difteria) Primera dosis dosis institución de aplicación.ESPECIFIQUE.
a09233a,429,Td (tétanos y difteria) Segunda dosis dosis administrada.
a09233bd,430,Td (tétanos y difteria) Segunda dosis dosis Fecha aplicación (ddmmaaaa).
a09233c,431,Td (tétanos y difteria) Segunda dosis dosis institución de aplicación.
a09233cesp,432,Td (tétanos y difteria) Segunda dosis dosis institución de aplicación. ESPECIFIQUE.
a09234a,433,Td (tétanos y difteria) Tercera dosis dosis administrada.
a09234bd,434,Td (tétanos y difteria) Tercera dosis dosis Fecha aplicación (ddmmaaaa).
a09234c,435,Td (tétanos y difteria) Tercera dosis dosis institución de aplicación.
a09234cesp,436,Td (tétanos y difteria) Tercera dosis dosis institución de aplicación. ESPECIFIQUE.
a09241a,437,Influenza estacional ( De septiembre de 2017 a la fecha) Única dosis administrada.
a09241bd,438,Influenza estacional ( De septiembre de 2017 a la fecha) Única dosis Fecha aplicación (ddmmaaaa).
a09241c,439,Influenza estacional ( De septiembre de 2017 a la fecha) Única dosis institución de aplicación.
a09241cesp,440,Influenza estacional ( De septiembre de 2017 a la fecha) Única dosis institución de aplicación. ESPECIFIQUE.
o_vac11,441,¿Existen Otras Vacunas?
a09251nom,442,Otras Vacunas 1 Dosis
a09251ed,443,Otras Vacunas 1 Edad
a09251a,444,Otras Vacunas 1 administrada.
a09251bd,445,Otras Vacunas 1 Fecha aplicación (ddmmaaaa).
a09251c,446,Otras Vacunas 1 institución de aplicación.
a09251cesp,447,Otras Vacunas 1 institución de aplicación. ESPECIFIQUE.
o_vac12,448,¿Existen Otras Vacunas?
a09252nom,449,Otras Vacunas 2 Dosis
a09252ed,450,Otras Vacunas 2 Edad
a09252a,451,Otras Vacunas 2 administrada.
a09252bd,452,Otras Vacunas 2 Fecha aplicación (ddmmaaaa).
a09252c,453,Otras Vacunas 2 institución de aplicación.
a09252cesp,454,Otras Vacunas 2 institución de aplicación. ESPECIFIQUE.
o_vac13,455,¿Existen Otras Vacunas?
a09253nom,456,Otras Vacunas 3 Dosis
a09253ed,457,Otras Vacunas 3 Edad
a09253a,458,Otras Vacunas 3 administrada.
a09253bd,459,Otras Vacunas 3 Fecha aplicación (ddmmaaaa).
a09253c,460,Otras Vacunas 3 institución de aplicación.
a09253cesp,461,Otras Vacunas 3 institución de aplicación. ESPECIFIQUE.
nota001,462,NOTA001 X. PROGRAMAS PREVENTIVOS
a1001a,463,A1001A a) prueba de papanicolaou?
a1002a,464,A1002A ¿En qué institución le dieron servicio?
a1002ae,465,A1002AE Especifique:
a1003a,466,A1003A ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004a,467,A1004A ¿Le entregaron el resultado del estudio?
a1005a,468,A1005A ¿Qué diagnóstico le dieron?
a1006a,469,A1006A ¿Recibió tratamiento?
a1007a,470,A1007A ¿Cuál es la causa por la que no recibió tratamiento?
a1007ae,471,A1007AE Especifique:
a1001b,472,A1001B b) prueba del virus del papiloma?
a1002b,473,A1002B ¿En qué institución le dieron servicio?
a1002be,474,A1002BE Especifique:
a1003b,475,A1003B ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004b,476,A1004B ¿Le entregaron el resultado del estudio?
a1005b,477,A1005B ¿Qué diagnóstico le dieron?
a1006b,478,A1006B ¿Recibió tratamiento?
a1007b,479,A1007B ¿Cuál es la causa por la que no recibió tratamiento?
a1007be,480,A1007BE Especifique:
a1001c,481,A1001C c)exploración clínica de los enos?
a1002c,482,A1002C ¿En qué institución le dieron servicio?
a1002ce,483,A1002CE Especifique:
a1003c,484,A1003C ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004c,485,A1004C ¿Le entregaron el resultado del estudio?
a1005c,486,A1005C ¿Qué diagnóstico le dieron?
a1006c,487,A1006C ¿Recibió tratamiento?
a1007c,488,A1007C ¿Cuál es la causa por la que no recibió tratamiento?
a1007ce,489,A1007CE Especifique:
a1001d,490,A1001D d) detección de cáncer de mama?
a1002d,491,A1002D ¿En qué institución le dieron servicio?
a1002de,492,A1002DE Especifique:
a1003d,493,A1003D ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004d,494,A1004D ¿Le entregaron el resultado del estudio?
a1005d,495,A1005D ¿Qué diagnóstico le dieron?
a1006d,496,A1006D ¿Recibió tratamiento?
a1007d,497,A1007D ¿Cuál es la causa por la que no recibió tratamiento?
a1007de,498,A1007DE Especifique:
a1001e,499,A1001E e)detección de tuberculosis?
a1002e,500,A1002E ¿En qué institución le dieron servicio?
a1002ee,501,A1002EE Especifique:
a1003e,502,A1003E ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004e,503,A1004E ¿Le entregaron el resultado del estudio?
a1005e,504,A1005E ¿Qué diagnóstico le dieron?
a1006e,505,A1006E ¿Recibió tratamiento?
a1007e,506,A1007E ¿Cuál es la causa por la que no recibió tratamiento?
a1007ee,507,A1007EE Especifique:
a1001f,508,A1001F f) detección de sobrepeso u obesidad?
a1002f,509,A1002F ¿En qué institución le dieron servicio?
a1002fe,510,A1002FE Especifique:
a1003f,511,A1003F ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004f,512,A1004F ¿Le entregaron el resultado del estudio?
a1005f,513,A1005F ¿Qué diagnóstico le dieron?
a1006f,514,A1006F ¿Recibió tratamiento?
a1007f,515,A1007F ¿Cuál es la causa por la que no recibió tratamiento?
a1007fe,516,A1007FE Especifique:
a1001g,517,A1001G g) detección de diabetes?
a1002g,518,A1002G ¿En qué institución le dieron servicio?
a1002ge,519,A1002GE Especifique:
a1003g,520,A1003G ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004g,521,A1004G ¿Le entregaron el resultado del estudio?
a1005g,522,A1005G ¿Qué diagnóstico le dieron?
a1006g,523,A1006G ¿Recibió tratamiento?
a1007g,524,A1007G ¿Cuál es la causa por la que no recibió tratamiento?
a1007ge,525,A1007GE Especifique:
a1001h,526,A1001H h) detección de hipertensión?
a1002h,527,A1002H ¿En qué institución le dieron servicio?
a1002he,528,A1002HE Especifique:
a1003h,529,A1003H ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004h,530,A1004H ¿Le entregaron el resultado del estudio?
a1005h,531,A1005H ¿Qué diagnóstico le dieron?
a1006h,532,A1006H ¿Recibió tratamiento?
a1007h,533,A1007H ¿Cuál es la causa por la que no recibió tratamiento?
a1007he,534,A1007HE Especifique:
a1001i,535,A1001I i) detección de colesterol o triglicéridos altos (examen de sangre)?
a1002i,536,A1002I ¿En qué institución le dieron servicio?
a1002ie,537,A1002IE Especifique:
a1003i,538,A1003I ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004i,539,A1004I ¿Le entregaron el resultado del estudio?
a1005i,540,A1005I ¿Qué diagnóstico le dieron?
a1006i,541,A1006I ¿Recibió tratamiento?
a1007i,542,A1007I ¿Cuál es la causa por la que no recibió tratamiento?
a1007ie,543,A1007IE Especifique:
a1001j,544,A1001J j) detección de cáncer de próstata (análisis de sangre para detectar antígenos prostáticos)?
a1002j,545,A1002J ¿En qué institución le dieron servicio?
a1002je,546,A1002JE Especifique:
a1003j,547,A1003J ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004j,548,A1004J ¿Le entregaron el resultado del estudio?
a1005j,549,A1005J ¿Qué diagnóstico le dieron?
a1006j,550,A1006J ¿Recibió tratamiento?
a1007j,551,A1007J ¿Cuál es la causa por la que no recibió tratamiento?
a1007je,552,A1007JE Especifique:
a1001k,553,A1001K k) prueba de tacto rectal para detectar cáncer de próstata?
a1002k,554,A1002K ¿En qué institución le dieron servicio?
a1002ke,555,A1002KE Especifique:
a1003k,556,A1003K ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
a1004k,557,A1004K ¿Le entregaron el resultado del estudio?
a1005k,558,A1005K ¿Qué diagnóstico le dieron?
a1006k,559,A1006K ¿Recibió tratamiento?
a1007k,560,A1007K ¿Cuál es la causa por la que no recibió tratamiento?
a1007ke,561,A1007KE Especifique:
nota002,562,NOTA002 XI. ACCIDENTES
a1101,563,A1101 ¿Sufrió usted algún daño a su salud a causa de un accidente en los últimos 12 meses?
a1102,564,A1102 ¿Cómo fue que se accidentó?
a1103,565,A1103 ¿Llevaba puesto el cinturón?
a1104,566,A1104 ¿Llevaba puesto el casco?
a1105,567,A1105 ¿En qué lugar se encontraba cuando ocurrió el accidente?
a1105e,568,A1105E Especifique:
a1106a,569,"A1106A A. cara, cabeza y/o cuello?"
a1106b,570,A1106B B. tórax y/o abdomen?
a1106c,571,A1106C C. pelvis (cadera)?
a1106d,572,A1106D D. columna vertebral?
a1106e,573,A1106E E. brazo y/o antebrazo?
a1106f,574,A1106F F. mano y/o dedos de la mano?
a1106h,575,A1106H H. muslo y/o pierna?
a1106i,576,A1106I I pie (tobillo) y/o dedos del pie?
a1106j,577,A1106J J. genitales?
a1106la,578,A1106LA L. ¿Tuviste otra lesión en el cuerpo?
a1106lb,579,A1106LB Especifique:
a1106lc,580,A1106LC L. ¿Qué tipo de daño tuviste?
a1107,581,A1107 ¿Dónde lo atendieron cuando ocurrio el accidente?
a1107e,582,A1107E Especifique:
a1108,583,A1108 ¿Cuándo sufrió el accidente estaba bajo los efectos de…
a1108e,584,A1108E Especifique:
a1109,585,A1109 ¿Qué problema de salud permanente le ocasionó este accidente?
a1109e,586,A1109E Especifique:
nota003,587,NOTA003 XII. ATAQUE Y VIOLENCIA PARA ADULTOS DE 20 AÑOS O MÁS
nota004,588,NOTA004 Ahora le preguntaré sobre algún incidente de agresión o violencia que haya presentado
a1201,589,"A1201 ¿En los últimos 12 meses,  ¿Usted fue víctima de algún incidente en el que la/lo atacaran o violentaran físicamente?"
A1202A,590,A1202 ¿Qué fue lo que pasó?
A1202B,591,A1202 ¿Qué fue lo que pasó?
A1202C,592,A1202 ¿Qué fue lo que pasó?
A1202D,593,A1202 ¿Qué fue lo que pasó?
A1202E1,594,A1202 ¿Qué fue lo que pasó?
A1202F,595,A1202 ¿Qué fue lo que pasó?
A1202G,596,A1202 ¿Qué fue lo que pasó?
A1202H,597,A1202 ¿Qué fue lo que pasó?
A1202I,598,A1202 ¿Qué fue lo que pasó?
A1202J,599,A1202 ¿Qué fue lo que pasó?
A1202K,600,A1202 ¿Qué fue lo que pasó?
a1202e,601,A1202E Especifique:
A1203A,602,A1203 ¿Cuál fue el principal motivo?
A1203B,603,A1203 ¿Cuál fue el principal motivo?
A1203C,604,A1203 ¿Cuál fue el principal motivo?
A1203D,605,A1203 ¿Cuál fue el principal motivo?
A1203E1,606,A1203 ¿Cuál fue el principal motivo?
A1203F,607,A1203 ¿Cuál fue el principal motivo?
A1203G,608,A1203 ¿Cuál fue el principal motivo?
A1203H,609,A1203 ¿Cuál fue el principal motivo?
A1203I,610,A1203 ¿Cuál fue el principal motivo?
A1203J,611,A1203 ¿Cuál fue el principal motivo?
a1203e,612,A1203E Especifique:
a1204,613,A1204 ¿En qué lugar ocurrió el ataque o violencia?
a1204e,614,A1204E Especifique:
a1205,615,A1205 ¿Sufrió usted algún daño a su salud por el ataque o agresión?
a1206,616,A1206 ¿En qué institución lo(a) atendieron cuando ocurrió el ataque o agresión?
a1206e,617,A1206E Especifique:
a1207,618,A1207 Cuando sufrió el ataque o violencia ¿estaba usted bajo los efectos de…
a1207e,619,A1207E Especifique:
a1208,620,A1208 ¿Qué problema de salud permanente le ocasionó el ataque o violencia?
a1208e,621,A1208E Especifique:
a1209,622,A1209 ¿Quién fue la persona que le atacó?
a1210,623,"A1210 ¿A lo largo de su vida, alguien le manoseó, tocó o acarició alguna parte de su cuerpo o tuvo relaciones sexuales con usted cuando era muy pequeño/a?"
a1211,624,A1211 ¿Alguna vez ha pensado en suicidarse?
a1212,625,A1212 ¿Con qué frecuencia lo ha pensado?
a1213,626,"A1213 ¿Alguna vez a propósito se ha herido, cortado, intoxicado o hecho daño con el fin de quitarse la vida?"
a1214,627,A1214 ¿Esto fue en los últimos 12 meses?
nota005,628,NOTA005 XIII. FACTORES DE RIESGO
nota006,629,NOTA006 TABACO Y ALCOHOL
a1301,630,"A1301 Actualmente, ¿fuma tabaco…"
a1302,631,A1302 ¿A qué edad comenzó a fumar productos del tabaco todos los días?
a1303,632,"A1303 En pormedio, ¿cuántos cigarros fuma actualmente por día?"
a1304,633,"A1304 En pormedio, ¿cuántos cigarros fuma actualmente por semana?"
a1305,634,A1305 En el pasado¿ha fumado productos del tabaco…
a1306p,635,A1306P ¿Hace cuánto tiempo dejó definitivamente de fumar? PERIODO
a1306t,636,A1306T ¿Hace cuánto tiempo dejó definitivamente de fumar? TIEMPO
a1307,637,"A1307 Los cigarros electrónicos son productos que utilizan baterías u otros métodos para producir un vapor que puede contener nicotina. Se conocen como “e-cigarrete”, “Vape-pen”, “e-shisha” y “e-pipes”"
a1308,638,"A1308 En los últimos 12 meses,¿Con qué frecuencia tomó al menos una copa ya sea de vino, cerveza, whisky o cualquier otra bebida que contenga alcohol?"
a1309,639,"A1309 En los últimos 12 meses, ¿Con qué frecuencia tomó cinco o más copas de cualquier bebida alcohólica en una sola ocasión?"
a1310,640,"A1310 En los últimos 12 meses, ¿Con qué frecuencia tomó cuatro o más copas de cualquier bebida alcohólica en una sola ocasión?"
a1311,641,"A1311 En los últimos 30 días, ¿Tomó cinco o más copas de alcohol en al menos una ocasión"
a1312,642,"A1312 En los últimos 30 días, ¿Tomó cuatro o más copas de alcohol en al menos una ocasión?"
nota007,643,NOTA007 XIV. FUNCIONAMIENTO
a1401,644,A1401 ¿Usa anteojos o lentes de contacto?
a1402,645,A1402 ¿Usa una prótesis auditiva?
nota008,646,NOTA008 NOTA
a1403a,647,"A1403A Cunado usa anteojos o lentes de contacto, ¿tiene dificultad para ver?"
a1403b,648,A1403B ¿Tiene dificultades para ver?
a1404a,649,"A1404A Cuando usa su(s) prótesis auditiva(s), ¿tiene dificultad para oír?"
a1404b,650,A1404B ¿Tiene dificultades para oír?
a1405,651,A1405 ¿Tiene dificultad para caminar o subir escalones?
a1406,652,A1406 ¿Tiene dificultad para recordar o concentrarse?
a1407,653,"A1407 ¿Tiene dificultad para el cuidado propio, tal como lavarse todo el cuerpo o vestirse?"
a1408,654,"A1408 Usando su idioma habitual, ¿tiene dificultad para comunicarse, por ejemplo, entender a otros o hacerse entender?"
a1409,655,"A1409 Durante los últimos 7 días, ¿Cuántos días usted caminó por lo menos 10 minutos seguidos? Solo para trasladarse de un lugar a otro"
a1410h,656,"A1410H Generalmente, ¿Cuánto tiempo camina usted en uno de esos días? HORAS"
a1410m,657,"A1410M Generalmente, ¿Cuánto tiempo camina usted en uno de esos días? MINUTOS"
a1411,658,"A1411 Entonces, ¿el tiempo que pasó usted caminando, solo para trasladarse de un lugar a otro, durante los últimos ____días es de aproximadamente ___(horas/minutos)?"
a1412,659,"A1412 Durante los últimos 7 días, ¿Cuántos días usted caminó por lo menos 10 minutos seguidos?"
a1413h,660,A1413H Generalmente ¿Cuánto tiempo camina usted en uno de esos días? Caminar HORAS
a1413m,661,A1413M Generalmente ¿Cuánto tiempo camina usted en uno de esos días? Caminar MINUTOS
a1414,662,"A1414 Entonces, ¿el tiempo que paso usted caminando, solo por recreación, deporte, ejercicio o placer,  durante los últimos ____ días es de aproximadamente ___ (horas/ minutos)?"
nota009,663,NOTA009 XV. PARA RECONOCIMIENTO SITUACIONAL DE SOCIALIZACIÓN
a1501,664,A1501 ¿Usted/(NOMBRE) utiliza celular?
a1502,665,A1502 ¿Usted/(NOMBRE) utiliza computadora?
a1503,666,A1503 ¿Usted/(NOMBRE) utiliza internet?
A1504A,667,A1504 ¿Usted/(NOMBRE) utiliza redes sociales? (Pregunte cuál o cuáles)
A1504B,668,A1504 ¿Usted/(NOMBRE) utiliza redes sociales? (Pregunte cuál o cuáles)
A1504C,669,A1504 ¿Usted/(NOMBRE) utiliza redes sociales? (Pregunte cuál o cuáles)
A1504D,670,A1504 ¿Usted/(NOMBRE) utiliza redes sociales? (Pregunte cuál o cuáles)
A1504E1,671,A1504 ¿Usted/(NOMBRE) utiliza redes sociales? (Pregunte cuál o cuáles)
A1504F,672,A1504 ¿Usted/(NOMBRE) utiliza redes sociales? (Pregunte cuál o cuáles)
A1504G,673,A1504 ¿Usted/(NOMBRE) utiliza redes sociales? (Pregunte cuál o cuáles)
a1504e,674,A1504E Especifique:
nota010,675,NOTA010 NOTA
a1505,676,"A1505 ¿A cuántos familiares ve (en persona o por videollamada) o tiene noticias de ellos (por teléfono, WhatsApp, Skype, Facebook, etcétera) al menos una vez al mes?"
a1506,677,A1506 ¿Con cuántos familiares se siente cómodo(a) como para hablar sobre sus asuntos personales?
a1507,678,A1507 ¿A cuántos de sus familiares siente lo suficientemente cercanos como para llamarlos cuando necesita ayuda?
nota011,679,NOTA011 NOTA
a1508,680,"A1508 ¿A cuántos amigos ve (en persona o por videollamada) o tiene noticias de ellos (por teléfono, WhatsApp, Skype, Facebook, etcétera) al menos una vez al mes?"
a1509,681,A1509 ¿Con cuántos amigos se siente cómodo(a) como para hablar sobre sus asuntos personales?
a1510,682,A1510 A cuántos de sus amigos siente lo suficientemente cercanos como para llamarlos cuando necesita ayuda?
nota012,683,NOTA012 NOTA
a1511,684,"A1511 ¿Cuántas veces durante la semana pasada pasó tiempo con alguien que no vive con usted, es decir, usted fue a visitar a alguien o lo vinieron a visitar a usted, o salieron juntos?"
a1512,685,"A1512 ¿Cuántas veces habló con alguien (amigos, familiares u otras personas) por teléfono, WhatsApp, Skype, Facebook, etcétera durante la semana pasada (lo llamaron o usted los llamó)?"
a1513,686,"A1513 ¿Qué tan a menudo asistió a reuniones de clubes, reuniones religiosas o de otros grupos la semana pasada?"
nota013,687,NOTA013 NOTA
a1514,688,A1514 ¿Con qué frecuencia siente que le falta compañía?
a1515,689,A1515 ¿Con qué frecuencia se siente excluido?
a1516,690,A1516 ¿Con qué frecuencia se siente aislado de los demás?
comentario,691,¿Algún comentario de la entrevista?
tiempo,692,Duración de la Entrevista
hora_fin,693,Hora de termino
fecha_fin,694,Fecha de Termino
completa,695,Resultado de Entrevista
otroent,696,Especifique otro resultado de entrevista
ponde_f,697,Ponderador
estrato,698,Estrato urbanidad/ruralidad
est_sel,699, Estrato de seleccion
x_region,700,Region
indice1,701,<ninguno>
nseF,702,<ninguno>
nse5F,703,<ninguno>
